Infections,Deaths,Recoveries,Active,NewInfections
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
2,0,0,2,1
2,0,0,2,0
2,0,0,2,0
8,0,0,8,6
12,0,0,12,4
18,0,0,18,6
22,0,0,22,4
33,0,0,33,11
40,0,0,40,7
56,0,1,55,16
74,0,1,73,18
84,0,1,83,10
101,0,1,100,17
112,0,1,111,11
137,0,1,136,25
155,0,2,153,18
166,0,2,164,11
176,0,2,174,10
194,0,8,186,18
223,0,12,211,29
255,0,18,237,32
279,0,22,257,24
303,2,31,270,24
321,3,37,281,18
341,4,52,285,20
365,5,69,291,24
386,5,79,302,21
405,6,95,304,19
432,7,105,320,27
467,7,130,330,35
493,8,147,338,26
525,10,156,359,32
553,10,166,377,28
600,11,183,406,47
629,12,211,406,29
656,13,242,401,27
703,15,264,424,47
732,17,286,429,29
772,19,302,451,40
800,21,320,459,28
838,26,339,473,38
853,27,359,467,15
890,29,376,485,37
925,30,402,493,35
960,33,434,493,35
1006,34,459,513,46
1033,36,489,508,27
1080,40,513,527,47
1123,44,556,523,43
1181,44,585,552,58
1236,46,610,580,55
1291,49,654,588,55
1337,52,680,605,46
1394,54,718,622,57
1458,57,743,658,64
1532,57,781,694,74
1608,59,794,755,76
1706,62,828,816,98
1794,63,862,869,88
1888,64,896,928,94
2010,67,939,1004,122
2124,70,963,1091,114
2255,71,1009,1175,131
2366,75,1048,1243,111
2524,79,1102,1343,158
2662,81,1155,1426,138
2778,85,1206,1487,116
2924,86,1251,1587,146
3098,88,1306,1704,174
3291,92,1366,1833,193
3471,96,1436,1939,180
3673,100,1508,2065,202
3849,104,1602,2143,176
4044,110,1684,2250,195
4236,112,1776,2348,192
4449,116,1894,2439,213
4677,124,2000,2553,228
4949,126,2129,2694,272
5225,135,2231,2859,276
5493,149,2375,2969,268
5792,153,2509,3130,299
6100,158,2620,3322,308
6428,170,2754,3504,328
6751,178,2920,3653,323
7124,185,3106,3833,373
7523,196,3275,4052,399
7931,208,3465,4258,408
8400,214,3635,4551,469
8920,224,3820,4876,520
9438,237,3999,5202,518
9991,246,4203,5542,553
10544,260,4417,5867,553
11113,272,4677,6164,569
11668,280,4945,6443,555
12298,289,5204,6805,630
12982,305,5487,7190,684
13636,315,5785,7536,654
14338,325,6103,7910,702
15047,346,6405,8296,709
15820,360,6764,8696,773
16527,376,7147,9004,707
17276,393,7538,9345,749
18070,415,7985,9670,794
18921,428,8492,10001,851
19813,455,8983,10375,892
20690,482,9509,10699,877
21655,508,10036,11111,965
22598,537,10576,11485,943
23701,567,11101,12033,1103
24669,604,11694,12371,968
25769,649,12333,12787,1100
26872,684,12952,13236,1103
28030,720,13618,13692,1158
29241,760,14287,14194,1211
30404,804,15016,14584,1163
31781,837,15690,15254,1377
33125,878,16398,15849,1344
34436,928,17142,16366,1311
35834,970,17951,16913,1398
37321,1025,18788,17508,1487
38929,1074,19616,18239,1608
40567,1124,20531,18912,1638
42243,1181,21417,19645,1676
44013,1229,22472,20312,1770
45793,1275,23394,21124,1780
47660,1325,24444,21891,1867
49515,1382,25490,22643,1855
51457,1431,26599,23427,1942
53484,1488,27753,24243,2027
55558,1546,28858,25154,2074
57673,1607,30174,25892,2115
59757,1672,31453,26632,2084
61832,1740,32696,27396,2075
64071,1809,34025,28237,2239
66268,1872,35449,28947,2197
68425,1951,36978,29496,2157
70607,2031,38536,30040,2182
72866,2121,40122,30623,2259
75237,2219,41794,31224,2371
77479,2315,43478,31686,2242
79613,2410,45250,31953,2134
81829,2496,47019,32314,2216
84128,2588,48869,32671,2299
86451,2712,50772,32967,2323
88879,2800,52758,33321,2428
91140,2902,54771,33467,2261
93522,3006,56751,33765,2382
95871,3111,58721,34039,2349
98161,3237,60834,34090,2290
100418,3356,62912,34150,2257
102701,3467,64958,34276,2283
104951,3566,67041,34344,2250
107266,3683,69183,34400,2315
109584,3791,71446,34347,2318
111786,3904,73575,34307,2202
113864,4015,75598,34251,2078
115852,4128,77701,34023,1988
117852,4250,79878,33724,2000
119708,4381,82070,33257,1856
121650,4498,84381,32771,1942
123427,4597,86543,32287,1777
125264,4719,88803,31742,1837
126958,4841,91030,31087,1694
128583,4960,93201,30422,1625
130235,5049,95369,29817,1652
131842,5156,97545,29141,1607
133376,5258,99693,28425,1534
134912,5383,101883,27646,1536
136370,5492,104092,26786,1458
137747,5601,106185,25961,1377
139072,5707,108157,25208,1325
140312,5786,110066,24460,1240
141453,5887,111965,23601,1141
142628,5979,113729,22920,1175
143725,6071,115579,22075,1097
144850,6162,117265,21423,1125
145890,6243,119021,20626,1040
146841,6331,120627,19883,951
147774,6418,122165,19191,933
148713,6501,123734,18478,939
149499,6579,125263,17657,786
150264,6647,126729,16888,765
151002,6725,128187,16090,738
151706,6786,129584,15336,704
152354,6850,130897,14607,648
153024,6931,132141,13952,670
153642,6999,133313,13330,618
154206,7071,134382,12753,564
154816,7129,135499,12188,610
155303,7190,136535,11578,487
155801,7223,137627,10951,498
156268,7286,138604,10378,467
156680,7331,139510,9839,412
157037,7367,140407,9263,357
157438,7410,141303,8725,401
157765,7451,142048,8266,327
158104,7492,142772,7840,339
158412,7525,143477,7410,308
158698,7566,144140,6992,286
158964,7605,144749,6610,266
159196,7638,145386,6172,232
159451,7670,145972,5809,255
159677,7699,146507,5471,226
159878,7726,147090,5062,201
160100,7756,147547,4797,222
160291,7781,148020,4490,191
160475,7804,148464,4207,184
160633,7824,148856,3953,158
160769,7844,149193,3732,136
160924,7865,149573,3486,155
161046,7882,149883,3281,122
161178,7898,150206,3074,132
161304,7913,150499,2892,126
161413,7927,150771,2715,109
161528,7938,151026,2564,115
161646,7946,151250,2450,118
161768,7962,151489,2317,122
161861,7972,151705,2184,93
161942,7987,151891,2064,81
162028,7997,152103,1928,86
162089,8006,152285,1798,61
162144,8019,152456,1669,55
162197,8024,152609,1564,53
162240,8030,152739,1471,43
162286,8042,152882,1362,46
162343,8046,153000,1297,57
162379,8050,153128,1201,36
162415,8058,153246,1111,36
162467,8065,153348,1054,52
162504,8070,153458,976,37
162556,8075,153571,910,52
162589,8079,153689,821,33
162617,8086,153775,756,28
162662,8089,153853,720,45
162706,8093,153935,678,44
162737,8094,153995,648,31
162765,8097,154047,621,28
162792,8100,154097,595,27
162819,8100,154140,579,27
162837,8102,154184,551,18
162860,8105,154238,517,23
162877,8108,154271,498,17
162891,8109,154306,476,14
162904,8109,154358,437,13
162922,8114,154390,418,18
162940,8116,154440,384,18
162950,8118,154471,361,10
162968,8119,154498,351,18
162976,8121,154541,314,8
162994,8122,154584,288,18
162999,8123,154614,262,5
163002,8123,154642,237,3
163018,8125,154667,226,16
163025,8126,154693,206,7
163037,8126,154711,200,12
163046,8126,154734,186,9
163056,8128,154749,179,10
163068,8129,154762,177,12
163073,8130,154774,169,5
163079,8133,154789,157,6
163083,8133,154807,143,4
163086,8133,154817,136,3
163092,8134,154834,124,6
163095,8134,154842,119,3
163103,8134,154860,109,8
163107,8134,154865,108,4
163108,8134,154868,106,1
163112,8136,154882,94,4
163116,8138,154887,91,4
163118,8139,154898,81,2
163118,8140,154906,72,0
163121,8140,154916,65,3
163121,8140,154928,53,0
163122,8141,154932,49,1
163124,8141,154938,45,2
163124,8142,154941,41,0
163125,8142,154944,39,1
163125,8142,154950,33,0
163126,8142,154953,31,1
163130,8142,154961,27,4
163130,8142,154965,23,0
163130,8142,154966,22,0
163131,8142,154970,19,1
163132,8142,154974,16,1
163133,8142,154976,15,1
163133,8142,154976,15,0
163133,8142,154979,12,0
163133,8142,154979,12,0
163133,8142,154980,11,0
163133,8142,154982,9,0
163133,8142,154982,9,0
163133,8142,154983,8,0
163133,8142,154983,8,0
163133,8142,154984,7,0
163133,8143,154987,3,0
163133,8143,154987,3,0
163133,8143,154987,3,0
163133,8143,154988,2,0
163133,8144,154988,1,0
163133,8144,154989,0,0
